dataset,cell_type,gene_set,k,n_cells,max_rank,median_detected,depth_ratio,tie_break_inclusion,mean_tie_break,mean_detected_part,mean_total,score_tie_break_share
gse161529,0,BIOCARTA_CARDIACEGF_PATHWAY,18,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011564069436162458,0.050097404425892805,0.061661473862055255,0.18754124272204045
gse161529,0,BIOCARTA_CARM1_PATHWAY,12,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01221358825283244,0.020324749055853707,0.03253833730868614,0.37535993732451756
gse161529,0,BIOCARTA_CARM_ER_PATHWAY,25,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011987656529516997,0.024797096004770425,0.036784752534287424,0.32588656178516323
gse161529,0,BIOCARTA_CASPASE_PATHWAY,22,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012538082072965794,0.02044378489727327,0.03298186697023906,0.3801507684291929
gse161529,0,BIOCARTA_CB1R_PATHWAY,7,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011907083226850667,0.007540889343214924,0.019447972570065596,0.6122531890639388
gse161529,0,BIOCARTA_CBL_PATHWAY,12,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012265329954283442,0.01059124677002584,0.022856576724309286,0.5366214767077765
gse161529,0,BIOCARTA_CCR3_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01186296801933277,0.03103668047578696,0.042899648495119735,0.2765283268155985
gse161529,0,BIOCARTA_CCR5_PATHWAY,17,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011393630081728577,0.08400691009856535,0.09540054018029394,0.11942940847290989
gse161529,0,BIOCARTA_CD40_PATHWAY,15,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01234214867819519,0.01921826674617372,0.03156041542436891,0.3910642021735044
gse161529,0,BIOCARTA_CDC25_PATHWAY,9,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011288975021533162,0.01808210759954946,0.029371082621082623,0.3843567895393108
